id,updated,confirmed,confirmed_change,deaths,deaths_change,recovered,recovered_change,latitude,longitude,iso2,iso3,country_region,admin_region_1,iso_subdivision,admin_region_2,load_time
338995,2020-01-21,262,,0,,,,,,,,Worldwide,,,,2023-06-17 00:05:40
338996,2020-01-22,313,51,0,0,,,,,,,Worldwide,,,,2023-06-17 00:05:40
338997,2020-01-23,578,265,0,0,,,,,,,Worldwide,,,,2023-06-17 00:05:40
338998,2020-01-24,841,263,0,0,,,,,,,Worldwide,,,,2023-06-17 00:05:40
338999,2020-01-25,1320,479,0,0,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339000,2020-01-26,2014,694,0,0,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339001,2020-01-27,2798,784,0,0,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339002,2020-01-28,4593,1795,0,0,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339003,2020-01-29,6065,1472,0,0,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339004,2020-01-30,7818,1753,0,0,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339005,2020-01-31,9826,2008,0,0,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339006,2020-02-01,11953,2127,0,0,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339007,2020-02-02,14557,2604,0,0,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339008,2020-02-03,17386,2829,362,362,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339009,2020-02-04,20625,3239,426,64,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339010,2020-02-05,24549,3924,492,66,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339011,2020-02-06,28256,3707,565,73,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339012,2020-02-07,31420,3164,638,73,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339013,2020-02-08,34822,3402,724,86,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339014,2020-02-09,37494,2672,813,89,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339015,2020-02-10,40484,2990,910,97,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339016,2020-02-11,42968,2484,1018,108,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339017,2020-02-12,44996,2028,1115,97,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339018,2020-02-13,46823,1827,1369,254,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339019,2020-02-14,64219,17396,1383,14,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339020,2020-02-15,66884,2665,1526,143,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339021,2020-02-16,68912,2028,1669,143,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339022,2020-02-17,70975,2063,1775,106,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339023,2020-02-18,72778,1803,1873,98,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339024,2020-02-19,75204,2426,2009,136,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339025,2020-02-20,75748,544,2129,120,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339026,2020-02-21,76769,1021,2247,118,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339027,2020-02-22,77794,1025,2359,112,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339028,2020-02-23,78811,1017,2462,103,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339029,2020-02-24,79331,520,2618,156,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339030,2020-02-25,80239,908,2700,82,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339031,2020-02-26,81109,870,2762,62,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339032,2020-02-27,82294,1185,2804,42,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339033,2020-02-28,83652,1358,2858,54,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339034,2020-02-29,85403,1751,2924,66,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339035,2020-03-01,87137,1734,2977,53,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339036,2020-03-02,88948,1811,3043,66,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339037,2020-03-03,90869,1921,3112,69,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339038,2020-03-04,93091,2222,3198,86,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339039,2020-03-05,95324,2233,3281,83,,,,,,,Worldwide,,,,2023-06-17 00:05:40
